
===========================================================================
HoloNet TEST INFERENCE
===========================================================================
Device:              cuda
Model:               best_model_fft_final.pth
Patch size:          256
Patches/image:      64

Training Z normalization:
  Z mean = 30.59822877
  Z std  = 21.75293980

Number of test images: 5653
Model loaded successfully.

Image | Z_GT | Z_pred | Abs Error | Time(s)
73825.tiff | 11.011 | 9.377 | 1.634 | 0.0330
74290.tiff | 20.590 | 16.838 | 3.752 | 0.0330
69756.tiff | 19.672 | 19.607 | 0.065 | 0.0330
73422.tiff | 20.518 | 20.373 | 0.146 | 0.0330
67695.tiff | 21.806 | 26.425 | 4.620 | 0.0330
65816.tiff | 41.046 | 43.144 | 2.099 | 0.0330
67132.tiff | 20.456 | 17.855 | 2.601 | 0.0330
66798.tiff | 10.635 | 10.034 | 0.602 | 0.0330
69576.tiff | 5.905 | 6.663 | 0.758 | 0.0330
68123.tiff | 54.446 | 58.955 | 4.509 | 0.0330
70655.tiff | 4.669 | 6.059 | 1.390 | 0.0330
69276.tiff | 16.404 | 15.717 | 0.687 | 0.0330
75464.tiff | 21.057 | 24.429 | 3.372 | 0.0330
74529.tiff | 0.038 | 5.220 | 5.182 | 0.0330
74664.tiff | 11.190 | 15.980 | 4.790 | 0.0330
74584.tiff | 4.536 | 9.094 | 4.558 | 0.0330
71761.tiff | 10.773 | 14.521 | 3.748 | 0.0330
65238.tiff | 1.891 | 2.586 | 0.695 | 0.0330
66533.tiff | 33.014 | 33.508 | 0.494 | 0.0330
75649.tiff | 6.698 | 10.981 | 4.284 | 0.0330
69901.tiff | 30.747 | 31.429 | 0.683 | 0.0330
68411.tiff | 32.376 | 34.104 | 1.728 | 0.0330
73055.tiff | 38.624 | 40.279 | 1.655 | 0.0330
75300.tiff | 34.370 | 38.842 | 4.472 | 0.0330
66536.tiff | 32.757 | 32.912 | 0.154 | 0.0330
68880.tiff | 6.792 | 9.302 | 2.511 | 0.0330
66300.tiff | 52.082 | 54.199 | 2.117 | 0.0330
70689.tiff | 1.798 | 4.172 | 2.373 | 0.0330
72992.tiff | 33.376 | 34.468 | 1.092 | 0.0330
66481.tiff | 37.369 | 39.030 | 1.662 | 0.0330
67794.tiff | 29.401 | 35.251 | 5.850 | 0.0330
71212.tiff | 29.908 | 30.067 | 0.159 | 0.0330
76057.tiff | 24.783 | 18.145 | 6.637 | 0.0330
72727.tiff | 11.434 | 11.903 | 0.468 | 0.0330
70059.tiff | 42.960 | 43.349 | 0.390 | 0.0330
75226.tiff | 40.137 | 42.963 | 2.826 | 0.0330
70900.tiff | 17.161 | 17.339 | 0.179 | 0.0330
72918.tiff | 27.214 | 27.272 | 0.058 | 0.0330
68662.tiff | 11.327 | 10.711 | 0.616 | 0.0330
65556.tiff | 21.330 | 21.218 | 0.112 | 0.0330
66164.tiff | 62.767 | 63.588 | 0.821 | 0.0330
71373.tiff | 17.576 | 18.993 | 1.416 | 0.0330
65398.tiff | 10.254 | 11.253 | 0.999 | 0.0330
72475.tiff | 9.489 | 10.956 | 1.466 | 0.0330
71756.tiff | 10.385 | 14.239 | 3.854 | 0.0330
74951.tiff | 34.943 | 41.659 | 6.715 | 0.0330
75502.tiff | 18.119 | 21.662 | 3.543 | 0.0330
71725.tiff | 8.921 | 6.357 | 2.564 | 0.0330
70490.tiff | 18.350 | 20.107 | 1.757 | 0.0330
65724.tiff | 34.030 | 34.812 | 0.782 | 0.0330
65301.tiff | 2.864 | 4.398 | 1.534 | 0.0330
74501.tiff | 2.300 | 3.740 | 1.440 | 0.0330
69295.tiff | 14.962 | 14.631 | 0.331 | 0.0330
73168.tiff | 42.726 | 43.623 | 0.897 | 0.0330
69186.tiff | 23.322 | 21.227 | 2.095 | 0.0330
70548.tiff | 13.573 | 14.616 | 1.042 | 0.0330
71087.tiff | 32.789 | 33.196 | 0.408 | 0.0330
76114.tiff | 29.196 | 22.795 | 6.401 | 0.0330
68143.tiff | 54.225 | 58.726 | 4.501 | 0.0330
70265.tiff | 36.708 | 40.551 | 3.844 | 0.0330
68206.tiff | 48.944 | 53.835 | 4.891 | 0.0330
69583.tiff | 6.450 | 7.242 | 0.792 | 0.0330
75247.tiff | 38.481 | 42.182 | 3.701 | 0.0330
75823.tiff | 6.628 | 3.534 | 3.094 | 0.0330
70770.tiff | 4.912 | 5.136 | 0.225 | 0.0330
74390.tiff | 11.552 | 7.888 | 3.663 | 0.0330
66153.tiff | 63.697 | 64.391 | 0.694 | 0.0330
66213.tiff | 58.612 | 59.070 | 0.457 | 0.0330
69504.tiff | 0.984 | 3.987 | 3.002 | 0.0330
72906.tiff | 26.233 | 26.179 | 0.054 | 0.0330
75973.tiff | 18.203 | 11.909 | 6.293 | 0.0330
73248.tiff | 36.507 | 38.489 | 1.982 | 0.0330
71168.tiff | 33.293 | 33.642 | 0.349 | 0.0330
74735.tiff | 17.058 | 21.902 | 4.844 | 0.0330
65666.tiff | 29.695 | 29.185 | 0.510 | 0.0330
65643.tiff | 27.963 | 27.424 | 0.540 | 0.0330
75453.tiff | 21.869 | 24.973 | 3.103 | 0.0330
68768.tiff | 2.479 | 3.880 | 1.400 | 0.0330
69273.tiff | 16.628 | 15.791 | 0.837 | 0.0330
69817.tiff | 24.360 | 23.953 | 0.407 | 0.0330
65787.tiff | 38.850 | 40.510 | 1.660 | 0.0330
73162.tiff | 43.085 | 43.853 | 0.768 | 0.0330
68203.tiff | 49.215 | 54.205 | 4.990 | 0.0330
72021.tiff | 31.159 | 34.900 | 3.741 | 0.0330
69188.tiff | 23.178 | 21.128 | 2.050 | 0.0330
74792.tiff | 21.740 | 26.268 | 4.528 | 0.0330
72339.tiff | 20.857 | 22.810 | 1.953 | 0.0330
67906.tiff | 37.872 | 44.118 | 6.246 | 0.0330
69627.tiff | 9.795 | 10.087 | 0.292 | 0.0330
69951.tiff | 34.595 | 35.580 | 0.984 | 0.0330
65997.tiff | 54.796 | 55.783 | 0.987 | 0.0330
72104.tiff | 36.501 | 40.046 | 3.545 | 0.0330
75039.tiff | 40.949 | 42.666 | 1.717 | 0.0330
70750.tiff | 3.263 | 4.175 | 0.912 | 0.0330
70062.tiff | 43.191 | 43.808 | 0.617 | 0.0330
65157.tiff | 6.764 | 9.312 | 2.548 | 0.0330
75396.tiff | 26.566 | 29.753 | 3.188 | 0.0330
68086.tiff | 51.654 | 57.099 | 5.445 | 0.0330
73490.tiff | 15.218 | 15.825 | 0.607 | 0.0330
72972.tiff | 31.708 | 32.481 | 0.773 | 0.0330
72188.tiff | 33.375 | 36.492 | 3.117 | 0.0330
71551.tiff | 3.894 | 6.648 | 2.754 | 0.0330
68796.tiff | 0.153 | 3.896 | 3.743 | 0.0330
65496.tiff | 16.789 | 16.962 | 0.173 | 0.0330
67322.tiff | 6.086 | 5.478 | 0.607 | 0.0330
70779.tiff | 5.668 | 5.666 | 0.002 | 0.0330
69793.tiff | 22.457 | 22.277 | 0.179 | 0.0330
65152.tiff | 7.115 | 9.471 | 2.357 | 0.0330
76116.tiff | 29.374 | 22.743 | 6.631 | 0.0330
70652.tiff | 4.919 | 6.399 | 1.480 | 0.0330
73281.tiff | 33.902 | 36.118 | 2.217 | 0.0330
66739.tiff | 15.615 | 14.479 | 1.136 | 0.0330
68002.tiff | 45.221 | 50.380 | 5.159 | 0.0330
75037.tiff | 41.731 | 45.040 | 3.309 | 0.0330
72890.tiff | 24.902 | 24.732 | 0.170 | 0.0330
73671.tiff | 0.874 | 3.845 | 2.971 | 0.0330
75659.tiff | 5.990 | 10.244 | 4.254 | 0.0330
67884.tiff | 36.246 | 42.434 | 6.188 | 0.0330
68721.tiff | 6.481 | 6.221 | 0.260 | 0.0330
72397.tiff | 15.951 | 17.404 | 1.454 | 0.0330
76134.tiff | 31.128 | 28.786 | 2.342 | 0.0330
72470.tiff | 9.918 | 11.482 | 1.564 | 0.0330
73257.tiff | 35.800 | 37.619 | 1.819 | 0.0330
67277.tiff | 9.573 | 8.754 | 0.820 | 0.0330
69462.tiff | 2.241 | 3.929 | 1.688 | 0.0330
65344.tiff | 6.107 | 7.165 | 1.057 | 0.0330
71443.tiff | 12.169 | 14.304 | 2.135 | 0.0330
69137.tiff | 27.110 | 24.287 | 2.823 | 0.0330
75847.tiff | 8.562 | 4.545 | 4.017 | 0.0330
76260.tiff | 36.341 | 24.863 | 11.478 | 0.0330
70906.tiff | 17.672 | 17.726 | 0.055 | 0.0330
67224.tiff | 13.616 | 12.605 | 1.011 | 0.0330
69197.tiff | 22.522 | 20.566 | 1.955 | 0.0330
71726.tiff | 9.167 | 6.588 | 2.579 | 0.0330
70854.tiff | 13.341 | 13.600 | 0.259 | 0.0330
72499.tiff | 7.555 | 8.702 | 1.147 | 0.0330
71256.tiff | 26.548 | 26.953 | 0.405 | 0.0330
70707.tiff | 0.320 | 3.756 | 3.436 | 0.0330
75336.tiff | 31.216 | 35.645 | 4.429 | 0.0330
73164.tiff | 42.963 | 43.883 | 0.920 | 0.0330
66466.tiff | 38.554 | 40.221 | 1.666 | 0.0330
69594.tiff | 7.317 | 8.028 | 0.711 | 0.0330
67235.tiff | 12.807 | 11.789 | 1.018 | 0.0330
71425.tiff | 13.586 | 15.524 | 1.938 | 0.0330
68904.tiff | 8.793 | 11.546 | 2.754 | 0.0330
73937.tiff | 19.554 | 17.168 | 2.386 | 0.0330
72788.tiff | 16.474 | 16.598 | 0.124 | 0.0330
69830.tiff | 25.316 | 25.053 | 0.264 | 0.0330
74697.tiff | 13.984 | 18.839 | 4.855 | 0.0330
72559.tiff | 2.558 | 4.274 | 1.716 | 0.0330
71441.tiff | 12.287 | 14.423 | 2.136 | 0.0330
69152.tiff | 25.907 | 23.554 | 2.354 | 0.0330
75572.tiff | 12.701 | 16.581 | 3.880 | 0.0330
67122.tiff | 19.645 | 17.103 | 2.542 | 0.0330
71211.tiff | 29.965 | 30.215 | 0.250 | 0.0330
73722.tiff | 3.065 | 3.433 | 0.368 | 0.0330
71022.tiff | 27.342 | 26.628 | 0.714 | 0.0330
68162.tiff | 52.644 | 57.555 | 4.911 | 0.0330
67631.tiff | 16.544 | 21.164 | 4.621 | 0.0330
71235.tiff | 28.176 | 28.386 | 0.209 | 0.0330
74625.tiff | 7.986 | 12.904 | 4.918 | 0.0330
71958.tiff | 26.295 | 29.694 | 3.399 | 0.0330
75152.tiff | 45.858 | 44.951 | 0.908 | 0.0330
66204.tiff | 59.403 | 59.790 | 0.387 | 0.0330
73607.tiff | 5.890 | 7.193 | 1.302 | 0.0330
65617.tiff | 26.020 | 25.483 | 0.536 | 0.0330
66927.tiff | 3.151 | 3.353 | 0.202 | 0.0330
68115.tiff | 53.889 | 58.567 | 4.678 | 0.0330
67642.tiff | 17.359 | 21.613 | 4.254 | 0.0330
75146.tiff | 46.351 | 45.059 | 1.291 | 0.0330
67563.tiff | 12.350 | 13.350 | 1.000 | 0.0330
70237.tiff | 39.061 | 43.357 | 4.296 | 0.0330
67729.tiff | 24.406 | 29.019 | 4.612 | 0.0330
70378.tiff | 27.234 | 30.178 | 2.945 | 0.0330
73983.tiff | 23.096 | 20.687 | 2.409 | 0.0330
67127.tiff | 20.002 | 17.461 | 2.541 | 0.0330
70494.tiff | 18.011 | 19.713 | 1.702 | 0.0330
74328.tiff | 17.406 | 13.874 | 3.532 | 0.0330
70913.tiff | 18.262 | 18.264 | 0.002 | 0.0330
71342.tiff | 19.989 | 21.300 | 1.311 | 0.0330
65806.tiff | 40.247 | 42.276 | 2.029 | 0.0330
69695.tiff | 15.019 | 14.737 | 0.282 | 0.0330
75623.tiff | 8.687 | 12.625 | 3.938 | 0.0330
68141.tiff | 54.438 | 58.988 | 4.550 | 0.0330
69281.tiff | 15.995 | 15.449 | 0.546 | 0.0330
73546.tiff | 10.890 | 12.218 | 1.328 | 0.0330
73730.tiff | 3.623 | 3.566 | 0.057 | 0.0330
73870.tiff | 14.479 | 12.629 | 1.850 | 0.0330
65548.tiff | 20.713 | 20.618 | 0.095 | 0.0330
65027.tiff | 0.655 | 2.941 | 2.286 | 0.0330
71346.tiff | 19.652 | 20.890 | 1.238 | 0.0330
68919.tiff | 10.004 | 12.972 | 2.968 | 0.0330
69487.tiff | 0.324 | 3.697 | 3.373 | 0.0330
72686.tiff | 8.044 | 8.198 | 0.153 | 0.0330
70156.tiff | 46.221 | 46.611 | 0.390 | 0.0330
66222.tiff | 57.900 | 58.007 | 0.107 | 0.0330
71396.tiff | 15.842 | 17.447 | 1.605 | 0.0330
67549.tiff | 11.237 | 12.403 | 1.166 | 0.0330
65438.tiff | 12.358 | 13.131 | 0.772 | 0.0330
73834.tiff | 11.653 | 10.204 | 1.449 | 0.0330
74572.tiff | 3.558 | 8.274 | 4.716 | 0.0330
66862.tiff | 3.974 | 5.693 | 1.719 | 0.0330
67700.tiff | 22.098 | 26.480 | 4.382 | 0.0330
75632.tiff | 8.067 | 12.122 | 4.054 | 0.0330
72641.tiff | 4.288 | 4.770 | 0.482 | 0.0330
67482.tiff | 6.083 | 7.688 | 1.605 | 0.0330
76157.tiff | 32.006 | 69.157 | 37.151 | 0.0330
74539.tiff | 0.782 | 5.608 | 4.826 | 0.0330
67707.tiff | 22.684 | 27.112 | 4.428 | 0.0330
70604.tiff | 8.910 | 10.230 | 1.320 | 0.0330
65327.tiff | 4.768 | 5.962 | 1.195 | 0.0330
67500.tiff | 7.457 | 8.696 | 1.240 | 0.0330
66005.tiff | 55.419 | 56.263 | 0.843 | 0.0330
70427.tiff | 23.543 | 26.003 | 2.460 | 0.0330
76056.tiff | 24.770 | 18.083 | 6.687 | 0.0330
69012.tiff | 18.025 | 16.300 | 1.725 | 0.0330
73403.tiff | 21.945 | 21.643 | 0.302 | 0.0330
65535.tiff | 19.742 | 19.626 | 0.116 | 0.0330
71755.tiff | 10.291 | 14.089 | 3.797 | 0.0330
68961.tiff | 13.851 | 12.427 | 1.424 | 0.0330
65586.tiff | 23.643 | 23.373 | 0.269 | 0.0330
74323.tiff | 17.833 | 14.317 | 3.516 | 0.0330
72529.tiff | 5.033 | 6.206 | 1.173 | 0.0330
70666.tiff | 3.762 | 5.527 | 1.765 | 0.0330
70497.tiff | 17.772 | 19.258 | 1.486 | 0.0330
72144.tiff | 37.026 | 40.326 | 3.299 | 0.0330
65492.tiff | 16.479 | 16.725 | 0.246 | 0.0330
70965.tiff | 22.590 | 22.244 | 0.346 | 0.0330
73061.tiff | 39.157 | 40.332 | 1.174 | 0.0330
70065.tiff | 43.379 | 43.982 | 0.603 | 0.0330
73525.tiff | 12.599 | 13.603 | 1.005 | 0.0330
74674.tiff | 12.022 | 16.648 | 4.626 | 0.0330
68549.tiff | 20.698 | 20.024 | 0.675 | 0.0330
66917.tiff | 2.299 | 3.437 | 1.138 | 0.0330
68186.tiff | 50.652 | 55.620 | 4.969 | 0.0330
75646.tiff | 6.934 | 11.022 | 4.088 | 0.0330
66911.tiff | 1.824 | 3.597 | 1.773 | 0.0330
71832.tiff | 16.266 | 20.105 | 3.839 | 0.0330
71595.tiff | 0.481 | 4.116 | 3.635 | 0.0330
66134.tiff | 65.326 | 65.642 | 0.316 | 0.0330
71602.tiff | 0.080 | 4.088 | 4.008 | 0.0330
67519.tiff | 8.976 | 10.234 | 1.259 | 0.0330
73078.tiff | 40.523 | 41.694 | 1.171 | 0.0330
66318.tiff | 50.613 | 52.664 | 2.052 | 0.0330
69369.tiff | 9.372 | 9.141 | 0.230 | 0.0330
65122.tiff | 7.317 | 9.571 | 2.254 | 0.0330
73675.tiff | 0.588 | 3.723 | 3.135 | 0.0330
67450.tiff | 3.650 | 5.690 | 2.040 | 0.0330
70171.tiff | 45.010 | 45.342 | 0.333 | 0.0330
71822.tiff | 15.515 | 19.294 | 3.779 | 0.0330
67602.tiff | 14.684 | 15.218 | 0.533 | 0.0330
66523.tiff | 33.870 | 34.393 | 0.522 | 0.0330
71979.tiff | 27.928 | 31.419 | 3.491 | 0.0330
67174.tiff | 17.454 | 15.402 | 2.052 | 0.0330
68284.tiff | 42.463 | 46.726 | 4.264 | 0.0330
69555.tiff | 4.377 | 5.632 | 1.255 | 0.0330
68606.tiff | 16.008 | 15.322 | 0.686 | 0.0330
73474.tiff | 16.456 | 17.056 | 0.599 | 0.0330
71157.tiff | 34.197 | 35.252 | 1.055 | 0.0330
75260.tiff | 37.498 | 41.288 | 3.790 | 0.0330
68769.tiff | 2.466 | 3.927 | 1.461 | 0.0330
72314.tiff | 22.918 | 24.925 | 2.007 | 0.0330
69039.tiff | 20.205 | 18.128 | 2.076 | 0.0330
68503.tiff | 24.625 | 24.294 | 0.332 | 0.0330
66408.tiff | 43.460 | 46.098 | 2.639 | 0.0330
69632.tiff | 10.182 | 10.474 | 0.291 | 0.0330
70304.tiff | 33.496 | 37.530 | 4.034 | 0.0330
76194.tiff | 31.994 | 69.211 | 37.218 | 0.0330
71253.tiff | 26.842 | 27.185 | 0.343 | 0.0330
67580.tiff | 13.670 | 14.286 | 0.617 | 0.0330
72336.tiff | 21.096 | 23.022 | 1.925 | 0.0330
68270.tiff | 43.588 | 47.912 | 4.324 | 0.0330
75805.tiff | 5.270 | 3.349 | 1.921 | 0.0330
66868.tiff | 2.070 | 5.829 | 3.759 | 0.0330
76203.tiff | 31.993 | 69.141 | 37.148 | 0.0330
72498.tiff | 7.612 | 8.750 | 1.138 | 0.0330
67522.tiff | 9.236 | 10.499 | 1.263 | 0.0330
73651.tiff | 2.438 | 4.678 | 2.240 | 0.0330
66821.tiff | 8.717 | 8.048 | 0.669 | 0.0330
70713.tiff | 0.215 | 3.757 | 3.542 | 0.0330
65052.tiff | 1.436 | 4.560 | 3.124 | 0.0330
68889.tiff | 7.532 | 10.084 | 2.552 | 0.0330
74395.tiff | 11.133 | 7.537 | 3.596 | 0.0330
68578.tiff | 18.313 | 17.449 | 0.865 | 0.0330
69566.tiff | 5.162 | 6.206 | 1.044 | 0.0330
74319.tiff | 18.132 | 14.521 | 3.610 | 0.0330
70453.tiff | 21.460 | 23.508 | 2.048 | 0.0330
66859.tiff | 4.167 | 5.629 | 1.461 | 0.0330
76011.tiff | 21.161 | 14.735 | 6.425 | 0.0330
75781.tiff | 3.382 | 3.420 | 0.037 | 0.0330
75306.tiff | 33.892 | 38.302 | 4.410 | 0.0330
71307.tiff | 22.672 | 23.508 | 0.836 | 0.0330
73070.tiff | 39.850 | 40.779 | 0.929 | 0.0330
75434.tiff | 23.349 | 26.186 | 2.837 | 0.0330
65426.tiff | 11.465 | 12.166 | 0.701 | 0.0330
69285.tiff | 15.785 | 15.256 | 0.528 | 0.0330
75111.tiff | 46.847 | 45.368 | 1.480 | 0.0330
70577.tiff | 11.180 | 12.333 | 1.153 | 0.0330
65229.tiff | 2.677 | 2.804 | 0.126 | 0.0330
73923.tiff | 18.534 | 16.075 | 2.459 | 0.0330
67742.tiff | 25.425 | 30.225 | 4.800 | 0.0330
74892.tiff | 29.966 | 37.294 | 7.329 | 0.0330
70282.tiff | 35.237 | 39.030 | 3.793 | 0.0330
71254.tiff | 26.740 | 27.028 | 0.287 | 0.0330
67922.tiff | 39.126 | 45.221 | 6.096 | 0.0330
74536.tiff | 0.554 | 5.488 | 4.935 | 0.0330
68654.tiff | 12.037 | 11.558 | 0.479 | 0.0330
71687.tiff | 6.705 | 4.748 | 1.957 | 0.0330
71829.tiff | 16.008 | 19.770 | 3.762 | 0.0330
66129.tiff | 64.936 | 65.594 | 0.657 | 0.0330
71501.tiff | 7.726 | 10.078 | 2.351 | 0.0330
67332.tiff | 5.328 | 4.895 | 0.434 | 0.0330
67209.tiff | 14.746 | 13.517 | 1.229 | 0.0330
74271.tiff | 22.134 | 18.516 | 3.618 | 0.0330
75069.tiff | 43.380 | 44.122 | 0.742 | 0.0331
72751.tiff | 13.453 | 13.600 | 0.147 | 0.0330
68154.tiff | 53.332 | 58.156 | 4.824 | 0.0330
70685.tiff | 2.132 | 4.331 | 2.198 | 0.0330
73872.tiff | 14.601 | 12.673 | 1.928 | 0.0330
75398.tiff | 26.438 | 29.596 | 3.158 | 0.0330
75859.tiff | 9.489 | 5.176 | 4.314 | 0.0330
67375.tiff | 2.085 | 3.765 | 1.680 | 0.0330
66633.tiff | 24.596 | 23.339 | 1.258 | 0.0330
71195.tiff | 31.259 | 31.680 | 0.421 | 0.0330
67299.tiff | 7.868 | 7.319 | 0.550 | 0.0330
71450.tiff | 11.670 | 13.570 | 1.901 | 0.0330
69253.tiff | 18.169 | 17.151 | 1.018 | 0.0330
70010.tiff | 39.176 | 39.685 | 0.509 | 0.0330
67722.tiff | 23.859 | 28.291 | 4.433 | 0.0330
75665.tiff | 5.549 | 10.005 | 4.456 | 0.0330
70359.tiff | 28.888 | 32.517 | 3.629 | 0.0330
70372.tiff | 27.781 | 30.892 | 3.112 | 0.0330
72068.tiff | 34.220 | 37.944 | 3.725 | 0.0330
73392.tiff | 22.798 | 22.188 | 0.610 | 0.0330
72249.tiff | 28.361 | 30.832 | 2.471 | 0.0330
70169.tiff | 45.194 | 45.341 | 0.147 | 0.0330
71849.tiff | 17.605 | 21.338 | 3.733 | 0.0330
70406.tiff | 24.972 | 27.422 | 2.450 | 0.0330
71913.tiff | 22.843 | 26.439 | 3.596 | 0.0330
72090.tiff | 35.430 | 39.105 | 3.674 | 0.0330
74203.tiff | 27.778 | 24.099 | 3.679 | 0.0330
67551.tiff | 11.365 | 12.497 | 1.132 | 0.0330
74648.tiff | 9.900 | 14.632 | 4.732 | 0.0330
65939.tiff | 50.360 | 51.628 | 1.268 | 0.0330
76096.tiff | 27.798 | 21.423 | 6.375 | 0.0330
75029.tiff | 41.280 | 45.076 | 3.796 | 0.0330
74936.tiff | 33.716 | 41.004 | 7.289 | 0.0330
75996.tiff | 20.016 | 13.972 | 6.044 | 0.0330
69853.tiff | 27.102 | 26.963 | 0.139 | 0.0330
67645.tiff | 17.634 | 21.989 | 4.355 | 0.0330
74884.tiff | 29.339 | 36.786 | 7.447 | 0.0330
68166.tiff | 52.270 | 57.205 | 4.935 | 0.0330
68640.tiff | 13.166 | 12.591 | 0.575 | 0.0330
74325.tiff | 17.655 | 14.038 | 3.617 | 0.0330
67062.tiff | 14.524 | 12.773 | 1.752 | 0.0330
69646.tiff | 11.237 | 11.331 | 0.094 | 0.0330
76107.tiff | 28.651 | 22.021 | 6.630 | 0.0330
67813.tiff | 30.814 | 36.835 | 6.021 | 0.0330
75615.tiff | 9.331 | 13.329 | 3.998 | 0.0330
74768.tiff | 19.712 | 24.309 | 4.597 | 0.0330
75173.tiff | 44.204 | 44.474 | 0.270 | 0.0330
67550.tiff | 11.372 | 12.324 | 0.952 | 0.0330
72761.tiff | 14.222 | 14.420 | 0.198 | 0.0330
71190.tiff | 31.620 | 31.927 | 0.307 | 0.0330
70495.tiff | 17.955 | 19.731 | 1.776 | 0.0330
69175.tiff | 24.178 | 21.884 | 2.295 | 0.0330
74900.tiff | 30.653 | 38.164 | 7.511 | 0.0330
66025.tiff | 56.938 | 57.689 | 0.751 | 0.0330
69849.tiff | 26.766 | 26.771 | 0.005 | 0.0330
70146.tiff | 47.104 | 47.332 | 0.228 | 0.0330
71917.tiff | 23.147 | 26.914 | 3.767 | 0.0330
66952.tiff | 5.300 | 4.030 | 1.269 | 0.0330
71380.tiff | 17.023 | 18.522 | 1.498 | 0.0330
65352.tiff | 6.754 | 8.042 | 1.288 | 0.0330
75457.tiff | 21.597 | 24.631 | 3.034 | 0.0330
69798.tiff | 22.851 | 22.629 | 0.221 | 0.0330
72483.tiff | 8.828 | 10.108 | 1.280 | 0.0330
68663.tiff | 11.231 | 10.675 | 0.556 | 0.0330
71439.tiff | 12.525 | 14.569 | 2.044 | 0.0330
69658.tiff | 12.193 | 12.311 | 0.117 | 0.0330
70051.tiff | 42.305 | 42.677 | 0.371 | 0.0330
68151.tiff | 53.542 | 58.390 | 4.848 | 0.0330
70502.tiff | 17.399 | 18.876 | 1.477 | 0.0330
69814.tiff | 24.078 | 23.754 | 0.324 | 0.0330
70181.tiff | 44.238 | 44.395 | 0.157 | 0.0330
72752.tiff | 13.516 | 13.911 | 0.396 | 0.0330
67940.tiff | 40.524 | 46.259 | 5.735 | 0.0330
69511.tiff | 1.498 | 4.123 | 2.625 | 0.0330
66341.tiff | 48.704 | 51.085 | 2.381 | 0.0330
75604.tiff | 10.231 | 14.140 | 3.909 | 0.0330
72703.tiff | 9.384 | 9.653 | 0.269 | 0.0330
71487.tiff | 8.790 | 10.998 | 2.208 | 0.0330
70911.tiff | 18.089 | 18.181 | 0.092 | 0.0330
73789.tiff | 8.224 | 6.849 | 1.375 | 0.0330
74552.tiff | 1.937 | 6.614 | 4.677 | 0.0330
66584.tiff | 28.724 | 27.655 | 1.069 | 0.0330
66413.tiff | 43.029 | 45.810 | 2.781 | 0.0330
70269.tiff | 36.356 | 40.150 | 3.793 | 0.0330
74898.tiff | 30.517 | 37.913 | 7.397 | 0.0330
67257.tiff | 11.105 | 10.389 | 0.716 | 0.0330
73696.tiff | 1.035 | 3.512 | 2.478 | 0.0330
67213.tiff | 14.456 | 13.450 | 1.006 | 0.0330
67623.tiff | 15.892 | 20.472 | 4.580 | 0.0330
71795.tiff | 13.460 | 17.021 | 3.562 | 0.0330
69939.tiff | 33.690 | 34.915 | 1.225 | 0.0330
68625.tiff | 14.439 | 13.868 | 0.571 | 0.0330
73995.tiff | 24.020 | 21.681 | 2.338 | 0.0330
69268.tiff | 17.078 | 16.295 | 0.783 | 0.0330
75164.tiff | 44.965 | 44.931 | 0.034 | 0.0330
65464.tiff | 14.369 | 14.941 | 0.572 | 0.0330
66755.tiff | 14.300 | 13.409 | 0.891 | 0.0330
70876.tiff | 15.173 | 15.609 | 0.436 | 0.0330
76274.tiff | 38.289 | 36.406 | 1.882 | 0.0330
71909.tiff | 22.515 | 26.157 | 3.642 | 0.0330
71430.tiff | 13.158 | 14.974 | 1.816 | 0.0330
65379.tiff | 8.737 | 9.783 | 1.046 | 0.0330
68107.tiff | 53.239 | 58.179 | 4.940 | 0.0330
69804.tiff | 23.314 | 23.121 | 0.193 | 0.0330
66336.tiff | 49.113 | 51.369 | 2.256 | 0.0330
75961.tiff | 17.268 | 11.180 | 6.089 | 0.0330
67717.tiff | 23.454 | 27.701 | 4.247 | 0.0330
71399.tiff | 15.575 | 17.343 | 1.768 | 0.0330
72931.tiff | 28.287 | 28.538 | 0.251 | 0.0330
71204.tiff | 30.509 | 30.528 | 0.019 | 0.0330
71525.tiff | 5.910 | 8.320 | 2.410 | 0.0330
66812.tiff | 9.498 | 8.664 | 0.835 | 0.0330
74047.tiff | 28.004 | 25.258 | 2.746 | 0.0330
66895.tiff | 0.553 | 3.919 | 3.366 | 0.0330
76013.tiff | 21.274 | 14.770 | 6.504 | 0.0330
70602.tiff | 9.066 | 10.426 | 1.360 | 0.0330
74771.tiff | 20.019 | 24.659 | 4.640 | 0.0330
66190.tiff | 60.610 | 61.318 | 0.708 | 0.0330
74241.tiff | 24.679 | 20.941 | 3.739 | 0.0330
71024.tiff | 27.546 | 26.975 | 0.571 | 0.0330
70136.tiff | 47.940 | 48.354 | 0.414 | 0.0330
68455.tiff | 28.631 | 28.814 | 0.183 | 0.0330
71782.tiff | 12.411 | 16.276 | 3.865 | 0.0330
70124.tiff | 47.975 | 48.308 | 0.333 | 0.0330
70138.tiff | 47.832 | 48.081 | 0.250 | 0.0330
70160.tiff | 45.979 | 46.242 | 0.263 | 0.0330
74217.tiff | 26.630 | 22.977 | 3.653 | 0.0330
69614.tiff | 8.820 | 9.297 | 0.477 | 0.0330
68993.tiff | 16.442 | 15.055 | 1.387 | 0.0330
75462.tiff | 21.266 | 24.395 | 3.129 | 0.0330
66031.tiff | 57.408 | 58.394 | 0.986 | 0.0330
71596.tiff | 0.396 | 4.099 | 3.703 | 0.0330
